Word,Length,SUBTLWF,POS,Mean_RT
rackets,7,0.96,NN,790.87
stepmother,10,4.24,NN,692.55
delineated,10,0.04,VB,960.45
swimmers,8,1.49,NN,771.13
umpire,6,1.06,NN,882.5
cobra,5,3.33,NN,645.85
vexes,5,0.1,VB,760.29
colonist,8,0.06,NN,682.26
bursitis,8,0.43,NN,921.25
hatred,6,5.41,NN,695.53
commends,8,0.1,VB,631.2
cheerleaders,12,2.86,NN,627.06
decrepit,8,0.49,JJ,801.39
tenets,6,0.24,NN,929.37
Niagara,7,3.08,NN,763.32
see,3,2556.73,VB,517.52
err,3,1.51,VB,672.74
inducement,10,0.25,NN,870.16
vicarious,9,0.25,JJ,824.55
balk,4,0.06,VB,667.38
recognizes,10,2,VB,714.76
jowls,5,0.31,NN,752.95
evasions,8,0.14,NN,780.32
culminates,10,0.14,VB,799.6
Bermuda,7,3.47,NN,739.15
Audubon,7,0.24,NN,932.24
gracious,8,7.16,JJ,721.09
radioactivity,13,0.8,NN,786.68
gown,4,6.55,NN,750.79
particles,9,3.02,NN,754.91
ordinances,10,0.16,NN,796.59
ovary,5,0.51,NN,694.13
reared,6,0.41,VB,736.19
nudist,6,0.65,NN,752.58
exportation,11,0.02,NN,1121
unhurt,6,0.1,JJ,759
jackpot,7,3.71,NN,598.18
medieval,8,2.96,JJ,752.97
hangover,8,3.9,NN,616.55
quintet,7,0.51,NN,881.25
guesswork,9,0.43,NN,764.9
vocalists,9,0.04,NN,712.38
coincident,10,0.2,JJ,804.3
harassing,9,2.67,VB,759.78
burners,7,0.55,NN,671.06
discard,7,1.08,VB,647.24
sliver,6,0.45,NN,747.71
contradict,10,1.35,VB,817.53
seedy,5,0.73,JJ,707.62
statewide,9,0.29,JJ,695.09
leisurely,9,0.57,JJ,776.75
shoestring,10,0.25,NN,874.79
quilted,7,0.08,JJ,662.67
punctuality,11,0.65,NN,854.97
ketchup,7,6.08,NN,796.15
anomaly,7,1.24,NN,863.67
outnumbered,11,2.12,VB,711.1
elude,5,0.41,VB,805
revelry,7,0.18,NN,871.45
administers,11,0.12,VB,852.55
onion,5,4.24,NN,676.33
weariness,9,0.1,NN,762.16
riser,5,0.35,NN,756.28
acquire,7,2.65,VB,673.94
repairing,9,0.82,VB,730.28
discovering,11,2.1,VB,705.94
notorious,9,3.71,JJ,721.29
suborbital,10,0.02,JJ,1001.92
assisted,8,1.71,VB,803.43
pistols,7,1.88,NN,669.06
bygones,7,3.41,NN,982.91
grunting,8,5.08,VB,695.76
citadel,7,0.45,NN,760.91
Florence,8,5.37,NN,736.11
oboe,4,0.35,NN,855.71
glockenspiel,12,0.18,NN,964
commentator,11,2.73,NN,881.94
acquiesced,10,0.1,VB,934.5
greenish,8,0.16,JJ,701.84
Connie,6,15.8,NN,665.58
papoose,7,0.22,NN,855
unrevealing,11,0.02,JJ,923.48
tabernacle,10,0.71,NN,808.77
flora,5,2.24,NN,851.62
Morse,5,2.76,NN,812.84
physiological,13,0.63,JJ,1045.36
unwed,5,0.53,JJ,860.26
crabapple,9,0.37,NN,996.24
sympathized,11,0.04,VB,797.31
baritone,8,0.41,NN,807.74
rookies,7,1.18,NN,706.41
juniper,7,0.47,NN,763.04
Jehovah,7,0.78,NN,747.19
lazybones,9,0.16,NN,788.94
disgusted,9,1.76,VB,681.24
anthology,9,0.27,NN,813.57
brother,7,283.94,NN,614.06
FALSE,5,21.14,JJ,718.06
alienation,10,0.43,NN,784.06
omnipotent,10,0.37,JJ,951.78
plucky,6,0.39,JJ,829.69
orangutan,9,0.57,NN,1070.07
knew,4,368.96,VB,597.74
judgeship,9,0.2,NN,909.58
regretted,9,1.39,VB,712.23
absentee,8,0.35,JJ,886.79
accumulating,12,0.35,VB,776.41
fortification,13,0.1,NN,805.32
premiere,8,3.71,NN,712.23
predicament,11,1.96,NN,933.48
seaborne,8,0.14,JJ,848.55
fungicides,10,0.02,NN,1236.82
organizers,10,0.39,NN,669.19
puppy,5,11.45,NN,600.48
reopening,9,0.67,VB,716.11
hiked,5,0.37,VB,598.06
gyrations,9,0.06,NN,1125.91
receives,8,1.55,VB,664.13
receipts,8,3.45,NN,743.91
vice,4,18.63,NN,673.66
leaden,6,0.1,JJ,870.06
Clair,5,0.92,NN,740.46
flunk,5,1.8,VB,674.87
yesteryear,10,0.18,NN,859.35
torpedo,7,6.39,NN,805.55
played,6,56.27,VB,580.85
desensitization,15,0.06,NN,1092.9
mornings,8,3.29,NN,666.67
outstanding,11,7.45,JJ,653.09
penniless,9,1.24,JJ,734.43
disk,4,6.63,NN,577.24
wooded,6,0.33,JJ,754.97
gunpowder,9,1.67,NN,846.47
chalky,6,0.12,JJ,774.29
effected,8,0.35,VB,719.78
graceless,9,0.12,JJ,754.52
legacies,8,0.12,NN,871.77
rug,3,10.41,NN,604.72
inhaler,7,1.18,NN,780.48
packhorse,9,0.02,NN,913.72
noontime,8,0.16,NN,812.11
grated,6,0.16,VB,760.56
rehearse,8,4.51,VB,751.71
corroborated,12,0.31,VB,917.29
