FormTranslit;LemmaTranslit;MoodTense;Trans;Voice;VoicePartcp;Person;Number;Gender;Long;AspPair;Aspect;Mood;Tense
"otkr`yl;otkryt';indicpast;tran;act;;;sg;m;;;p;indic;past"
"p`odnjat;podnjat';indicpast;tran;pass;pass;;sg;m;short;;p;indic;past"
"zazhzhjon;zazhech';indicpast;tran;pass;pass;;sg;m;short;;p;indic;past"
"priv`etstvovali;privetstvovat';indicpast;tran;act;;;pl;;;;i;indic;past"
"podcherkn`uli;podcherknut';indicpast;tran;act;;;pl;;;;p;indic;past"
"predstavl`jajut;predstavljat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"derz`ajuschiy;derzat';partcpnonpast;intr;act;act;;sg;m;long;;i;partcp;nonpast"
"osuschestvl`jat';osuschestvljat';inf;tran;act;;;;;;;i;inf;"
"realizovyvat';realizovyvat';inf;tran;act;;;;;;;i;inf;"
"sosto`jaschaja;sostojat';partcpnonpast;intr;act;act;;sg;f;long;;i;partcp;nonpast"
"rassch`ityvaet;rasschityvat';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"voyt`i;voyti;inf;intr;act;;;;;;;p;inf;"
"zavoev`av;zavoevat';gerpast;tran;act;;;;;;;p;ger;past"
"b`yli;byt';indicpast;intr;act;;;pl;;;;i;indic;past"
"njos;nesti;indicpast;tran;act;;;sg;m;;;i;indic;past"
"ukh`odit;ukhodit';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"p`odal;podat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"prokhod`jaschem;prokhodit';partcpnonpast;tran;act;act;;sg;m;long;;i;partcp;nonpast"
"soobsch`aet;soobschat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"izda`juschajasja;izdavat'sja;partcpnonpast;intr;med;act;;sg;f;long;;i;partcp;nonpast"
"ssyl`ajas';ssylat'sja;gernonpast;intr;med;;;;;;;i;ger;nonpast"
"ozhid`aetsja;ozhidat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"proizoydjot;proizoyti;indicnonpast;intr;act;;3p;sg;;;;p;indic;nonpast"
"otmech`aet;otmechat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"zavershjon;zavershit';indicfut;tran;pass;pass;3p;sg;m;short;;p;indic;fut"
"Otmech`aetsja;otmechat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
