time1	duration	time2	f2	f1	f3	sound
3.6589	0.1292599912050827	3.7208	1303	601	2149	А
3.9156	0.03760656766236492	3.9323	1445	494	2251	ъ
4.1001	0.12030217894170914	4.1614	1271	637	2087	А
4.3556	0.03898477401212297	4.3786	1315	443	2311	ъ
8.4809	0.11145380217454814	8.5331	1315	685	2237	А
8.7168	0.051134381913843896	8.7407	1475	507	2239	ъ
8.9104	0.12320969282743377	8.9672	1298	697	2083	А
9.1493	0.041353348564708625	9.1676	1390	467	2401	ъ
20.4758	0.11989534135085478	20.5348	1265	716	2156	А
20.7139	0.04508406655646269	20.7352	1343	459	2328	ъ
20.8463	0.052858366136167234	20.8708	1272	485	2335	а
21.0596	0.12222214403630005	21.1157	1254	770	2261	А
23.3570	0.09292414635182666	23.4015	1284	623	2169	А
23.5632	0.04535429829150672	23.5820	1257	409	2355	ъ
23.6747	0.06379554487633143	23.7058	1246	542	2348	а
23.8682	0.12298498891599863	23.9282	1255	699	2331	А
30.2828	0.04326652239012674	30.3025	1337	425	2328	ъ
30.3813	0.0714120033272323	30.4193	1431	561	2277	а
30.5566	0.07626437003570885	30.5943	1341	653	2078	А
30.7577	0.0694563454390682	30.7918	1336	597	2375	а
34.0646	0.04735784054343384	34.0868	1364	457	2409	ъ
34.1638	0.060632564870886085	34.1950	1435	588	2420	а
34.3374	0.09511146800824122	34.3854	1318	643	2171	А
34.5612	0.05957919919444521	34.5888	1297	520	2344	а
42.0536	0.05840255519335358	42.0857	1410	476	2075	а
42.2258	0.0980402918910741	42.2677	1328	766	2123	А
42.4678	0.04845061608337886	42.4889	1471	447	2149	ъ
42.6443	0.13011509955359912	42.7085	1262	833	2199	А
45.6771	0.050247446203322	45.6998	1469	507	2245	а
45.8507	0.09535164332501012	45.8990	1364	726	2180	А
46.0960	0.03507113715491528	46.1140	1474	430	2244	ъ
46.2710	0.1485437481649825	46.3361	1321	860	2189	А
11.1069	0.03480832724411442	11.1225	1454	408	2321	ъ
11.2042	0.05779066243236919	11.2342	1491	530	2295	а
11.3748	0.09482357698839472	11.4219	1374	700	2201	А
