Aux,CrSem,CeSem,CdEvSem,CeSynt,EPTrans,Country,Domain
doen,Anim,Anim,NonMent,NP,Tr,BE,E
laten,Anim,Anim,NonMent,Impl,Tr,BE,P
doen,Anim,Anim,NonMent,PP,Tr,BE,P
laten,Anim,Anim,NonMent,Impl,Tr,BE,P
doen,Inanim,Anim,Ment,NP,Intr,BE,P
doen,Inanim,Anim,Ment,NP,Tr,BE,E
doen,Inanim,Inanim,NonMent,NP,Intr,BE,P
laten,Anim,Anim,NonMent,Impl,Tr,NL,M
laten,Anim,Inanim,NonMent,NP,Intr,BE,M
doen,Inanim,Inanim,NonMent,NP,Intr,BE,M
laten,Inanim,Inanim,NonMent,NP,Intr,NL,M
laten,Anim,Anim,NonMent,PP,Intr,NL,E
laten,Anim,Anim,NonMent,PP,Intr,NL,F
laten,Anim,Anim,NonMent,Impl,Intr,NL,F
laten,Anim,Anim,NonMent,PP,Intr,NL,M
laten,Anim,Anim,NonMent,PP,Intr,NL,M
laten,Anim,Anim,NonMent,Impl,Intr,BE,M
laten,Anim,Anim,NonMent,PP,Intr,NL,P
laten,Anim,Anim,NonMent,Impl,Tr,BE,P
laten,Anim,Anim,NonMent,Impl,Tr,NL,M
laten,Anim,Anim,NonMent,PP,Tr,NL,P
laten,Anim,Anim,NonMent,Impl,Tr,BE,P
laten,Anim,Anim,NonMent,PP,Tr,NL,P
laten,Anim,Anim,NonMent,NP,Tr,NL,P
laten,Anim,Anim,NonMent,PP,Tr,BE,M
laten,Anim,Anim,NonMent,Impl,Tr,BE,P
laten,Anim,Anim,NonMent,Impl,Tr,BE,P
laten,Anim,Anim,NonMent,Impl,Tr,NL,P
laten,Anim,Anim,NonMent,Impl,Tr,NL,P
laten,Anim,Anim,NonMent,Impl,Tr,NL,P
laten,Anim,Anim,NonMent,Impl,Tr,NL,P
laten,Anim,Anim,NonMent,Impl,Tr,NL,P
laten,Anim,Anim,NonMent,PP,Tr,BE,M
laten,Anim,Anim,NonMent,PP,Tr,BE,M
laten,Anim,Anim,NonMent,PP,Tr,BE,M
laten,Anim,Anim,NonMent,PP,Tr,BE,M
laten,Inanim,Anim,Ment,Impl,Tr,BE,M
laten,Inanim,Anim,Ment,Impl,Tr,BE,M
laten,Anim,Anim,NonMent,NP,Tr,BE,P
laten,Anim,Inanim,NonMent,NP,Intr,NL,M
doen,Inanim,Anim,NonMent,NP,Intr,NL,F
laten,Anim,Anim,NonMent,NP,Intr,NL,M
laten,Anim,Inanim,NonMent,NP,Intr,NL,M
laten,Inanim,Anim,Ment,Impl,Tr,NL,M
laten,Anim,Inanim,Ment,NP,Intr,NL,M
laten,Inanim,Inanim,Ment,NP,Tr,NL,M
laten,Inanim,Inanim,NonMent,PP,Tr,NL,P
doen,Inanim,Anim,Ment,NP,Intr,BE,F
doen,Anim,Anim,Ment,NP,Intr,BE,F
doen,Anim,Anim,Ment,NP,Intr,BE,F
doen,Inanim,Inanim,NonMent,NP,Intr,NL,M
laten,Anim,Anim,NonMent,Impl,Tr,BE,M
laten,Anim,Anim,NonMent,Impl,Tr,NL,P
laten,Anim,Anim,Ment,Impl,Tr,BE,E
laten,Anim,Inanim,Ment,NP,Tr,BE,M
laten,Anim,Anim,NonMent,PP,Tr,BE,M
laten,Anim,Anim,NonMent,PP,Tr,BE,M
laten,Anim,Anim,NonMent,PP,Tr,NL,M
laten,Anim,Anim,NonMent,PP,Tr,NL,M
laten,Anim,Anim,NonMent,PP,Tr,BE,M
laten,Anim,Anim,NonMent,PP,Tr,BE,M
laten,Anim,Anim,NonMent,Impl,Tr,BE,M
laten,Anim,Anim,NonMent,PP,Tr,BE,M
laten,Anim,Anim,NonMent,PP,Tr,BE,M
laten,Anim,Anim,NonMent,PP,Tr,NL,M
laten,Anim,Anim,NonMent,PP,Tr,BE,M
laten,Anim,Anim,NonMent,PP,Tr,BE,M
laten,Anim,Anim,NonMent,PP,Tr,NL,M
laten,Anim,Anim,NonMent,PP,Tr,BE,M
laten,Anim,Anim,NonMent,PP,Tr,BE,M
laten,Anim,Anim,NonMent,PP,Tr,NL,M
laten,Anim,Anim,NonMent,Impl,Tr,NL,M
laten,Anim,Anim,NonMent,PP,Tr,BE,M
laten,Anim,Inanim,NonMent,PP,Tr,BE,M
laten,Anim,Inanim,NonMent,PP,Tr,NL,M
laten,Anim,Inanim,NonMent,NP,Intr,BE,F
laten,Anim,Inanim,NonMent,NP,Intr,BE,M
laten,Anim,Inanim,NonMent,NP,Intr,NL,M
laten,Anim,Inanim,NonMent,NP,Intr,NL,M
laten,Anim,Inanim,NonMent,NP,Intr,BE,P
laten,Anim,Inanim,NonMent,NP,Intr,BE,P
