Position;Title;Publ_year
1;Запись LiveJournal (2004) ;2004
2;Сати Спивакова. Не всё (2002) ;2002
3;Сати Спивакова. Не всё (2002) ;2002
4;Алексей Варламов. Купавна // «Новый Мир», 2000 ;2000
5;Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001 ;2000
6;Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001 ;2000
7;Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000 ;2000
8;Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000 ;2000
9;Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000 ;2000
10;Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000 ;2000
11;Владимир Маканин. Кавказский пленный (1995) ;1995
12;Владимир Маканин. Кавказский пленный (1995) ;1995
13;Ирина Муравьева. Мещанин во дворянстве (1994) ;1994
14;Виктор Пелевин. Желтая стрела (1993) ;1993
15;Сергей Довлатов. Дорога в новую квартиру (1987) ;1987
16;Сергей Довлатов. Чемодан (1986) ;1986
17;Сергей Довлатов. Чемодан (1986) ;1986
18;Сергей Довлатов. Иная жизнь (1984) ;1984
19;Сергей Довлатов. Заповедник (1983) ;1983
20;Сергей Довлатов. Заповедник (1983) ;1983
21;Сергей Довлатов. Наши (1983) ;1983
22;Фридрих Горенштейн. Куча (1982) // «Октябрь», 1996 ;1982
23;Ю. О. Домбровский. Факультет ненужных вещей, часть 1 (1978) ;1978
24;Ю. О. Домбровский. Факультет ненужных вещей, часть 2 (1978) ;1978
25;Ю. О. Домбровский. Факультет ненужных вещей, часть 2 (1978) ;1978
26;Ю. О. Домбровский. Факультет ненужных вещей, часть 2 (1978) ;1978
27;Ю. О. Домбровский. Факультет ненужных вещей, часть 3 (1978) ;1978
28;Ю. О. Домбровский. Факультет ненужных вещей, часть 4 (1978) ;1978
29;Ю. О. Домбровский. Факультет ненужных вещей, часть 5 (1978) ;1978
30;Ю. О. Домбровский. Факультет ненужных вещей, часть 5 (1978) ;1978
31;Владимир Войнович. Иванькиада, или рассказ о вселении писателя Войновича в новую квартиру (1976) ;1976
32;Юрий Коваль. Картофельная собака (1972) ;1972
33;Юрий Коваль. Картофельная собака (1972) ;1972
34;Юрий Коваль. Картофельная собака (1972) ;1972
35;Фазиль Искандер. Письмо (1969) ;1969
36;Фазиль Искандер. Святое озеро (1969) ;1969
37;И. Грекова. На испытаниях (1967) ;1967
38;И. Грекова. На испытаниях (1967) ;1967
39;И. Грекова. На испытаниях (1967) ;1967
40;Д. А. Гранин. Месяц вверх ногами (1966) ;1966
41;Д. А. Гранин. Месяц вверх ногами (1966) ;1966
42;Д. А. Гранин. Месяц вверх ногами (1966) ;1966
43;Ю. О. Домбровский. Хранитель древностей / Приложение (1964) ;1964
44;Ю. О. Домбровский. Хранитель древностей / Приложение (1964) ;1964
45;Ю. О. Домбровский. Хранитель древностей, часть 1 (1964) ;1964
46;Ю. О. Домбровский. Хранитель древностей, часть 2 (1964) ;1964
47;Василий Аксенов. Пора, мой друг, пора (1963) ;1963
48;Василий Аксенов. Пора, мой друг, пора (1963) ;1963
49;Василий Аксенов. Пора, мой друг, пора (1963) ;1963
50;Василий Аксенов. Пора, мой друг, пора (1963) ;1963
51;Василий Гроссман. Все течет (1955-1963) // «Октябрь», 1989 ;1955
52;И. Грекова. Летом в городе (1962) ;1962
53;Булат Окуджава. Новенький как с иголочки (1962) ;1962
54;Василий Аксенов. Звездный билет // «Юность», 1961 ;1961
55;Василий Аксенов. Звездный билет // «Юность», 1961 ;1961
56;Василий Гроссман. Жизнь и судьба, ч. 1 (1960) ;1960
57;Василий Гроссман. Жизнь и судьба, ч. 1 (1960) ;1960
58;Василий Гроссман. Жизнь и судьба, ч. 1 (1960) ;1960
59;Василий Гроссман. Жизнь и судьба, ч. 1 (1960) ;1960
60;Василий Гроссман. Жизнь и судьба, ч. 1 (1960) ;1960
61;Василий Гроссман. Жизнь и судьба, часть 2 (1960) ;1960
62;Василий Гроссман. Жизнь и судьба, часть 2 (1960) ;1960
63;Василий Гроссман. Жизнь и судьба, часть 2 (1960) ;1960
64;Василий Гроссман. Жизнь и судьба, часть 2 (1960) ;1960
65;Василий Гроссман. Жизнь и судьба, часть 2 (1960) ;1960
66;Василий Гроссман. Жизнь и судьба, часть 2 (1960) ;1960
67;Василий Гроссман. Жизнь и судьба, часть 2 (1960) ;1960
68;Василий Гроссман. Жизнь и судьба, часть 2 (1960) ;1960
69;Василий Гроссман. Жизнь и судьба, часть 3 (1960) ;1960
70;Виталий Губарев. Трое на острове (1950-1960) ;1950
71;Виталий Губарев. Трое на острове (1950-1960) ;1950
72;Ю. О. Домбровский. Обезьяна приходит за своим черепом, часть 1 (1943-1958) ;1943
73;Ю. О. Домбровский. Обезьяна приходит за своим черепом, часть 3 (1943-1958) ;1943
74;М. А. Булгаков. Мастер и Маргарита, часть 1 (1929-1940) ;1929
75;М. А. Булгаков. Мастер и Маргарита, часть 1 (1929-1940) ;1929
76;М. А. Булгаков. Мастер и Маргарита, часть 1 (1929-1940) ;1929
77;М. А. Булгаков. Мастер и Маргарита, часть 1 (1929-1940) ;1929
78;М. А. Булгаков. Мастер и Маргарита, часть 2 (1929-1940) ;1929
79;М. А. Булгаков. Мастер и Маргарита, часть 2 (1929-1940) ;1929
80;М. А. Булгаков. Мастер и Маргарита, часть 2 (1929-1940) ;1929
81;М. А. Булгаков. Записки покойника (Театральный роман) (1936-1937) ;1936
82;М. А. Булгаков. Записки покойника (Театральный роман) (1936-1937) ;1936
