numeral;form;year;century;homogenious_parts;pair_numerals;definiteness;adjectives
dva;inanim;2011;XXI;no;no;high;no
dva;inanim;2003;XXI;no;yes;low;yes
dva;inanim;2003;XXI;no;no;medium;no
dva;inanim;2001;XXI;no;no;high;no
dva;inanim;2001;XXI;yes_anim;no;medium;yes
dva;inanim;2001;XXI;no;yes;low;no
dva;inanim;2001;XXI;no;yes;low;no
dva;inanim;2000;XXI;no;no;high;no
dva;inanim;1998;XX;no;no;medium;no
dva;inanim;1998;XX;no;no;medium;no
dva;inanim;1998;XX;no;yes;low;no
dva;inanim;1995;XX;no;no;high;no
dva;inanim;1993;XX;yes_inanim;no;medium;no
dva;inanim;1989;XX;yes_anim;no;medium;no
dva;inanim;1981;XX;yes_anim;no;high;no
dva;inanim;1980;XX;no;no;medium;no
dva;inanim;1979;XX;no;no;high;no
dva;inanim;1974;XX;yes_anim;no;medium;no
dva;inanim;1962;XX;yes_anim;no;high;no
dva;inanim;1958;XX;no;yes;low;no
dva;inanim;1956;XX;yes_inanim;no;high;no
dva;inanim;1951;XX;yes_anim;yes;low;no
dva;inanim;1948;XX;no;no;high;no
dva;inanim;1948;XX;yes_anim;no;high;no
dva;inanim;1946;XX;no;no;high;no
dva;inanim;1944;XX;no;no;medium;no
dva;inanim;1935;XX;yes_anim;no;high;no
dva;inanim;1935;XX;no;yes;low;yes
dva;inanim;1935;XX;no;no;high;no
dva;inanim;1932;XX;yes_inanim;no;high;no
dva;inanim;1929;XX;no;no;high;no
dva;inanim;1929;XX;no;yes;low;no
dva;inanim;1928;XX;no;no;medium;yes
dva;inanim;1927;XX;yes_anim;no;high;no
dva;inanim;1927;XX;yes_inanim;no;medium;no
dva;inanim;1926;XX;yes_anim;no;high;no
dva;inanim;1924;XX;yes_inanim;no;high;yes
dva;inanim;1918;XX;yes_inanim;no;high;yes
dva;inanim;1917;XX;no;yes;low;no
dva;inanim;1915;XX;no;no;medium;no
dva;inanim;1914;XX;yes_anim;no;medium;no
dva;inanim;1914;XX;no;no;high;no
dva;inanim;1912;XX;no;no;high;yes
dva;inanim;1911;XX;yes_anim;no;high;no
dva;inanim;1910;XX;no;no;high;yes
dva;inanim;1907;XX;no;no;high;no
dva;inanim;1907;XX;no;no;high;no
dva;inanim;1901;XX;no;no;medium;no
dva;inanim;1898;XIX;no;no;high;no
dva;inanim;1896;XIX;no;no;high;no
dva;inanim;1896;XIX;no;no;high;no
dva;inanim;1889;XIX;yes_anim;no;medium;no
dva;inanim;1887;XIX;yes_anim;no;high;no
dva;inanim;1841;XIX;no;no;medium;no
dva;inanim;1891;XIX;yes_anim;no;high;no
dva;inanim;1881;XIX;yes_inanim;no;medium;no
dva;inanim;1879;XIX;no;no;high;no
dva;inanim;1878;XIX;yes_anim;no;high;no
dva;inanim;1872;XIX;no;no;high;yes
dva;inanim;1864;XIX;no;no;high;no
dva;inanim;1862;XIX;yes_anim;no;medium;no
dva;inanim;1859;XIX;no;no;medium;no
dva;inanim;1856;XIX;no;no;high;no
dva;inanim;1856;XIX;no;no;high;no
dva;inanim;1856;XIX;no;no;high;no
dva;inanim;1847;XIX;no;no;high;no
dva;inanim;1839;XIX;yes_inanim;no;high;no
dva;inanim;1847;XIX;no;no;high;no
dva;inanim;1838;XIX;no;no;medium;yes
dva;inanim;1831;XIX;no;no;high;yes
dva;inanim;1831;XIX;yes_inanim;no;high;no
dva;inanim;1830;XIX;no;no;medium;no
dva;inanim;1825;XIX;no;no;high;no
dva;inanim;1816;XIX;no;no;medium;no
dva;inanim;1786;XVIII;no;no;high;no
dva;inanim;1760;XVIII;no;yes;low;no
dva;inanim;1752;XVIII;no;no;high;no
dva;inanim;1709;XVIII;yes_anim;no;medium;yes
