numeral;form;homogenious_parts;pair_numerals;definiteness;adjectives
dva;inanim;no;no;high;no
dva;inanim;no;no;high;no
dva;inanim;no;no;high;yes
dva;inanim;no;no;high;no
dva;inanim;no;no;high;yes
dva;inanim;no;no;high;no
dva;inanim;yes_anim;no;high;no
dva;inanim;no;no;high;yes
dva;inanim;no;no;high;no
dva;inanim;no;no;medium;no
dva;inanim;no;no;high;yes
dva;inanim;no;no;medium;no
dva;inanim;no;no;high;no
dva;inanim;no;no;high;no
dva;inanim;no;no;high;no
dva;inanim;yes_anim;no;high;no
dva;inanim;no;no;medium;yes
dva;inanim;no;no;high;no
dva;inanim;no;no;medium;no
dva;inanim;yes_anim;no;high;no
dva;inanim;yes_inanim;no;high;no
dva;inanim;no;no;high;no
dva;inanim;no;no;high;no
dva;inanim;no;no;medium;yes
dva;inanim;yes_inanim;no;medium;no
dva;inanim;no;no;high;no
dva;inanim;no;no;high;yes
dva;inanim;no;no;medium;no
dva;inanim;no;no;high;yes
dva;inanim;no;no;medium;yes
dva;inanim;no;no;medium;no
dva;inanim;no;no;medium;no
dva;inanim;no;no;medium;yes
dva;inanim;no;no;medium;no
dva;inanim;no;yes;low;no
dva;inanim;no;no;high;no
dva;inanim;no;no;medium;yes
dva;inanim;no;no;medium;no
dva;inanim;no;no;high;no
dva;inanim;no;no;medium;no
dva;inanim;yes_anim;no;medium;no
dva;inanim;no;no;medium;no
dva;inanim;yes_anim;no;high;no
dva;inanim;yes_anim;no;high;no
dva;inanim;no;no;high;no
dva;inanim;no;no;high;no
dva;inanim;yes_inanim;no;high;no
dva;inanim;yes_inanim;no;medium;no
dva;inanim;yes_inanim;no;high;no
dva;inanim;no;no;high;no
dva;inanim;no;no;high;yes
dva;inanim;yes_anim;no;medium;yes
dva;inanim;no;no;medium;no
dva;inanim;yes_inanim;no;high;no
dva;inanim;yes_anim;no;high;no
dva;inanim;no;no;high;no
dva;inanim;yes_anim;no;high;no
dva;inanim;no;no;high;no
dva;inanim;no;no;high;no
dva;inanim;no;no;high;no
dva;inanim;yes_inanim;no;high;no
dva;inanim;yes_anim;no;medium;no
dva;inanim;no;no;high;yes
dva;inanim;no;no;medium;yes
dva;inanim;yes_anim;no;high;no
dva;inanim;yes_inanim;no;high;no
dva;inanim;no;no;medium;no
dva;inanim;yes_anim;no;medium;no
dva;inanim;yes_anim;no;high;no
dva;inanim;no;yes;low;no
dva;inanim;no;yes;low;no
dva;inanim;no;yes;low;no
dva;inanim;no;yes;low;yes
dva;inanim;no;yes;low;no
dva;inanim;no;yes;low;no
dva;inanim;no;yes;low;no
dva;inanim;no;yes;low;no
dva;inanim;no;yes;low;no
