speaker,year,gender,lives,born,education,index,preposition,prep_type,st_form,case,form,consonant
ait1954,1954,female,Mikhalevskaya,Mikhalevskaya,high,197434,у,later,них,gen,pl,no
ait1954,1954,female,Mikhalevskaya,Mikhalevskaya,high,197446,у,later,него,gen,m,no
ait1954,1954,female,Mikhalevskaya,Mikhalevskaya,high,216169,у,later,него,gen,m,no
ait1954,1954,female,Mikhalevskaya,Mikhalevskaya,high,425772,у,later,него,gen,m,no
ait1954,1954,female,Mikhalevskaya,Mikhalevskaya,high,228784,с,initial,ними,ins,pl,no
ait1954,1954,female,Mikhalevskaya,Mikhalevskaya,high,230299,к,initial,ним,dat,pl,no
ait1954,1954,female,Mikhalevskaya,Mikhalevskaya,high,230310,у,later,них,gen,pl,no
ait1954,1954,female,Mikhalevskaya,Mikhalevskaya,high,425760,у,later,них,gen,pl,no
ait1954,1954,female,Mikhalevskaya,Mikhalevskaya,high,672850,у,later,него,gen,m,yes
ait1954,1954,female,Mikhalevskaya,Mikhalevskaya,high,673064,у,later,него,gen,m,yes
ait1954,1954,female,Mikhalevskaya,Mikhalevskaya,high,674813,от,later,нее,gen,f,yes
ait1954,1954,female,Mikhalevskaya,Mikhalevskaya,high,675269,у,later,нее,gen,f,yes
ait1954,1954,female,Mikhalevskaya,Mikhalevskaya,high,674255,на,later,них,loc,pl,no
ait1954,1954,female,Mikhalevskaya,Mikhalevskaya,high,675279,у,later,них,gen,pl,yes
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,91170,на,later,ней,loc,f,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,91338,у,later,них,gen,pl,yes
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,89659,с,initial,ним,ins,m,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,201715,на,later,нее,acc,f,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,201759,на,later,ней,loc,f,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,201878,у,later,него,gen,m,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,201886,у,later,него,gen,m,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,202210,к,initial,ним,dat,pl,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,201272,к,initial,ним,dat,pl,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,201330,у,later,них,gen,pl,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,201434,у,later,нее,gen,f,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,155949,у,later,него,gen,m,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,58638,у,later,нее,gen,f,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,1352,у,later,него,gen,m,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,1559,у,later,него,gen,m,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,1586,у,later,него,gen,m,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,73377,на,later,него,acc,m,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,68621,у,later,нее,gen,f,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,73847,у,later,них,gen,pl,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,74044,у,later,них,gen,pl,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,74130,у,later,них,gen,pl,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,74191,у,later,них,gen,pl,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,259582,у,later,него,gen,m,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,264173,на,later,ней,loc,f,yes
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,259320,с,initial,ними,ins,pl,no
ans1925,1925,female,Mikhalevskaya,Kadyevskaya,low,259428,с,initial,ними,ins,pl,no
avm1922,1922,female,Mikhalevskaya,Mikhalevskaya,low-mid,49975,у,later,него,gen,m,no
avm1922,1922,female,Mikhalevskaya,Mikhalevskaya,low-mid,50452,у,later,ней,gen,f,no
avm1922,1922,female,Mikhalevskaya,Mikhalevskaya,low-mid,50455,у,later,ней,gen,f,no
avm1922,1922,female,Mikhalevskaya,Mikhalevskaya,low-mid,50843,с,initial,ним,ins,m,no
avm1922,1922,female,Mikhalevskaya,Mikhalevskaya,low-mid,50926,у,later,них,gen,pl,no
avm1922,1922,female,Mikhalevskaya,Mikhalevskaya,low-mid,51006,к,initial,нему,dat,m,no
avm1922,1922,female,Mikhalevskaya,Mikhalevskaya,low-mid,51010,у,later,него,gen,m,no
