position;Title;meaning;Publ_year
1;Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001 ;3;2000
2;Юрий Давыдов. Синие тюльпаны (1988-1989) ;3;1988
3;И. Грекова. Перелом (1987) ;3;1987
4;Ю. О. Домбровский. Факультет ненужных вещей, часть 2 (1978) ;3;1978
5;Юрий Трифонов. Дом на набережной (1976) ;2;1976
6;Александр Солженицын. В круге первом, т.1, гл. 1-25 (1968) // «Новый Мир», 1990 ;1;1968
7;Ю. О. Домбровский. Хранитель древностей, часть 2 (1964) ;3;1964
8;Ю. О. Домбровский. Хранитель древностей, часть 2 (1964) ;3;1964
9;И. Грекова. Летом в городе (1962) ;3;1962
10;Александр Солженицын. Один день Ивана Денисовича (1961) ;2;1961
11;И. Грекова. Первый налет (1960) ;3;1960
12;Василий Гроссман. Жизнь и судьба, ч. 1 (1960) ;2;1960
13;Василий Гроссман. Жизнь и судьба, часть 2 (1960) ;2;1960
14;М. А. Булгаков. Мастер и Маргарита, часть 2 (1929-1940) ;2;1929
15;М. А. Булгаков. Записки покойника (Театральный роман) (1936-1937) ;1;1936
16;А. Н. Толстой. Черная пятница (1924) ;1;1924
17;А. Н. Толстой. На рыбной ловле (1923) ;3;1923
18;Максим Горький. Чарли Мэн (1906) ;1;1906
19;М. Ю. Лермонтов. Герой нашего времени (1839-1841) ;2;1839
20;М. Ю. Лермонтов. Герой нашего времени (1839-1841) ;2;1839
21;Дина Рубина. Медная шкатулка (сборник) (2015) ;2;2015
22;Александр Снегирев. Вера (2015) ;3;2015
23;Людмила Макарова. Жемчужный тур (2014) ;3;2014
24;Виктор Пелевин. Любовь к трем цукербринам (2014) ;2;2014
25;Виктор Пелевин. Любовь к трем цукербринам (2014) ;2;2014
26;Виктор Пелевин. Любовь к трем цукербринам (2014) ;3;2014
27;Виктор Пелевин. Любовь к трем цукербринам (2014) ;3;2014
28;Владимир Базанов. Картина в багетной раме // «Сибирские огни», 2013 ;3;2013
29;Владимир Васильев. Шуруп (2013) ;3;2013
30;Сергей Каледин. Аллея Руж // «Огонек», 2013 ;3;2013
31;Сергей Каледин. Аллея Руж // «Огонек», 2013 ;3;2013
32;Алексей Моторов. Преступление доктора Паровозова (2013) ;2;2013
33;Виктор Пелевин. Бэтман Аполло (2013) ;3;2013
34;Виктор Пелевин. Бэтман Аполло (2013) ;3;2013
35;Виктор Пелевин. Бэтман Аполло (2013) ;3;2013
36;Алексей Иванов. Комьюнити (2012) ;3;2012
37;Алексей Иванов. Комьюнити (2012) ;1;2012
38;Ольга Новикова. Каждый убивал // «Сибирские огни», 2012 ;3;2012
39;Даниил Корецкий. Менты не ангелы, но… (2011) ;2;2011
40;Юлия Лавряшина. Улитка в тарелке (2011) ;1;2011
41;Алексей Иванов (Алексей Маврин). Псоглавцы. Гл. 1-20 (2011) ;3;2011
42;Алексей Иванов (Алексей Маврин). Псоглавцы. Гл. 21-39 (2011) ;3;2011
43;Виктор Пелевин. S.N.U.F.F (2011) ;3;2011
44;Дина Рубина. Окна (2011) ;2;2011
45;А. А. Ганиева. Вечер превращается в ночь (2010) ;3;2010
46;Григорий Дединский. Пиковая дама // «Криминальный отдел», 2010 ;2;2010
47;Борис Евсеев. Евстигней // «Октябрь», 2010 ;2;2010
48;Ю. И. Андреева. Многоточие сборки (2009) ;3;2009
49;Михаил Вартбург. Коротко о пузырях // «Знание - сила», 2009 ;1;2009
50;Михаил Вартбург. Коротко о пузырях // «Знание - сила», 2009 ;1;2009
51;Александр Иличевский. Перс (2009) ;3;2009
52;Александр Иличевский. Перс (2009) ;2;2009
53;Полина Волошина, Евгений Кульков. Маруся (2009) ;3;2009
54;Полина Волошина, Евгений Кульков. Маруся (2009) ;3;2009
55;Мариам Петросян. Дом, в котором... (2009) ;3;2009
56;Сергей Шаргунов. Обман (2009) // ,  ;3;2009
57;Альберт Валентинов. Умирать будем молодыми // «Наука и религия», 2008 ;1;2008
58;Александр Иличевский. Костер // «Октябрь», 2008 ;3;2008
59;Александр Терехов. Каменный мост (1997-2008) ;3;1997
60;Александр Терехов. Каменный мост (1997-2008) ;3;1997
61;Александр Терехов. Каменный мост (1997-2008) ;3;1997
62;В. Хорт, С. Тишина. Ведомые свыше // «Наука и жизнь», 2008 ;3;2008
63;Маша Трауб. Не вся la vie (2008) ;2;2008
64;Сергей Шаргунов. Чародей (2008) // ,  ;3;2008
65;Сергей Абаимов. Верность навсегда // «Наука и жизнь», 2007 ;3;2007
66;Сергей Абаимов. Верность навсегда // «Наука и жизнь», 2007 ;3;2007
67;Михаил Гиголашвили. Типун в зипуне (2007) // «Зарубежные записки», 2008 ;2;2007
68;Михаил Гиголашвили. Чертово колесо (2007) ;2;2007
69;Михаил Гиголашвили. Чертово колесо (2007) ;2;2007
70;Михаил Гиголашвили. Чертово колесо (2007) ;2;2007
71;Михаил Гиголашвили. Чертово колесо (2007) ;3;2007
72;Михаил Гиголашвили. Чертово колесо (2007) ;3;2007
73;Николай Желунов. Проект «Ленин» (2007) ;3;2007
74;Александр Иличевский. Горло Ушулука // «Октябрь», 2007 ;3;2007
75;Ирина Краева. Тим и Дан, или Тайна «Разбитой коленки»: сказочная повесть (2007) ;3;2007
76;Евгения Пищикова. Пятиэтажная Россия (2007) // «Русская Жизнь», 2008 ;2;2007
77;Александр Силаев. Армия Гутэнтака (2007) ;3;2007
78;Евгений Сухов. Делу конец -- сроку начало (2007) ;3;2007
79;Евгений Сухов. Делу конец -- сроку начало (2007) ;3;2007
80;Дмитрий Колодан, Карина Шаинян. Затмение (2007) ;3;2007
81;Дмитрий Колодан, Карина Шаинян. Над бездной вод (2007) ;3;2007
82;Дмитрий Колодан, Карина Шаинян. Над бездной вод (2007) ;3;2007
83;Дмитрий Колодан, Карина Шаинян. Над бездной вод (2007) ;3;2007
84;Захар Прилепин. Санькя (2006) ;3;2006
85;коллективный. Мы работаем на грани известного и неизвестного // «Знание - сила», 2006 ;3;2006
86;обобщенный. Кунсткамера // «Наука и жизнь», 2006 ;3;2006
87;Дмитрий Глуховский. Метро 2033 (2005) ;3;2005
88;Александр Иличевский. Бутылка (2005) // «Зарубежные записки», 2008 ;2;2005
89;Александр Терехов. Коммуналка (1995-2005) ;3;1995
90;Андрей Геласимов. Рахиль (2004) // «Октябрь», 2003 ;3;2004
