variant;region;gender;age;birth_year;position;yat_hard;yat_soft;vocalism;g;ts;ch;variant_num;region_num;gender_num;yat_hard_num;yat_soft_num;vocalism_num;g_num;ch_num
чё;Волгоград;ж;91;1904;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;2;1;0;0;0;0;0
чё;Забайкалье;ж;75;1927;part;не [и];не [и];аканье сильное;взрывной;утрата затвора [с];[ч'] мягкий;1;3;1;0;0;0;1;0
чё;Забайкалье;ж;75;1927;pron;не [и];не [и];аканье сильное;взрывной;утрата затвора [с];[ч'] мягкий;1;3;1;0;0;0;1;0
чё;Забайкалье;ж;75;1927;conj;не [и];не [и];аканье сильное;взрывной;утрата затвора [с];[ч'] мягкий;1;3;1;0;0;0;1;0
чё;Тамбов;ж;81;1921;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Тамбов;ж;80;1923;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Тамбов;ж;96;1906;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Тамбов;ж;70;1932;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Тамбов;ж;83;1920;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Тамбов;ж;68;1936;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;утрата затвора [ш];1;7;1;0;0;0;0;1
чё;Курск;ж;66;1934;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;4;1;0;0;0;0;0
чё;Тамбов;ж;80;1922;part;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Тамбов;ж;80;1922;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Тамбов;ж;81;1921;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Тамбов;ж;82;1922;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Тамбов;ж;88;1914;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Тамбов;ж;78;1924;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Волгоград;ж;79;1914;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;2;1;0;0;0;0;0
чё;Волгоград;м;86;1914;pron;не [и];непоследовательно [и];аканье сильное;щелевой;[ц] твёрд.;утрата затвора [ш];1;2;0;0;1;0;0;1
чё;Волгоград;ж;86;1914;pron;не [и];непоследовательно [и];аканье сильное;щелевой;[ц] твёрд.;утрата затвора [ш];1;2;1;0;1;0;0;1
чё;Тамбов;ж;74;1929;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Тамбов;ж;62;1940;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Тамбов;ж;80;1924;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Тамбов;ж;75;1927;part;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;утрата затвора [ш];1;7;1;0;0;0;0;1
чё;Тамбов;ж;75;1927;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;утрата затвора [ш];1;7;1;0;0;0;0;1
чё;Тамбов;ж;83;1918;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Волгоград;ж;76;1918;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;2;1;0;0;0;0;0
чё;Тамбов;ж;56;1946;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Волгоград;ж;76;1920;pron;не [и];непоследовательно [и];аканье сильное;щелевой;[ц] твёрд.;утрата затвора [ш];1;2;1;0;1;0;0;1
